ADO,AVION
2541,10338
1594,9929
1687,9598
3118,9435
1725,7100
1677,8971
3567,10513
3765,9597
2573,8853
2303,9931
2073,9649
3690,10937
3074,8549
1922,9352
2472,9396
2971,9373
3122,9438
2747,10778
3471,10127
3232,6143
2330,8051
1534,9404
2522,10815
3173,8283
2855,8549
2188,9352
2585,9396
3218,9373
2958,9438
2774,10778
3560,10127
3221,6143
2635,8051
2871,9404
2731,10815
3840,9750
3078,9778
2619,10219
2965,10139
3391,10723
2891,10035
2937,11258
3969,10751
3424,10602
2435,12413
2599,12323
2647,13001
3230,11921
3122,11106
2427,12046
2893,12503
3176,13484
3552,12844
3199,13993
4167,13727
3571,12916
2744,14276
2916,13995
2892,14922
4147,14109
