Fecha,MSFT,LIVERPOLC1,GFINBURO,GCARSOA1,ELEKTRA,BSMX
29.12.2017,1687.5,124.3,32.12,64.93,700.6,28.73
28.12.2017,1691,122.33,32.5,64.26,703,27.79
27.12.2017,1686,122.33,32.43,63.06,702.48,27.65
26.12.2017,1692.05,122.91,31.89,62.48,700.63,28.21
22.12.2017,1683.74,122.18,31.37,62.14,702.13,28.07
21.12.2017,1670,125.17,32.26,61.71,708.51,28.49
20.12.2017,1646.36,126.66,31.78,62.92,708.43,29.31
19.12.2017,1649.99,127.89,32.01,61.97,706.08,28.93
18.12.2017,1648.03,125.38,31.95,63.09,700.97,28.41
15.12.2017,1665.29,122.75,30.72,61.68,701.95,27.91
14.12.2017,1622.3,121.32,32.16,61.75,706.04,27.85
13.12.2017,1629.59,117.46,32.31,62.28,707.82,28.63
11.12.2017,1618.2,115.59,32.11,60.69,714.03,29.33
08.12.2017,1593,118.41,32.42,61.14,714.91,29.45
07.12.2017,1565,118.28,31.48,60.01,722.79,29.31
06.12.2017,1561,119.5,31.41,59.52,744.02,29.05
05.12.2017,1533.83,123.32,32.33,60.15,760.02,29.09
04.12.2017,1516.93,122.07,32.26,60.72,773.75,29.37
01.12.2017,1566.6,124.26,33.37,61.16,785.04,29.72
30.11.2017,1565.69,126.4,32.92,59.35,794.67,30.23
29.11.2017,1546.01,128.84,34.08,60.65,795.94,30.7
28.11.2017,1578,125.44,33.78,61.56,791.89,30.42
27.11.2017,1552.99,125.07,33.22,62.14,790.17,30.35
24.11.2017,1542.01,127.39,33.77,62.97,800.6,30.33
23.11.2017,1542.01,127.46,33.88,63.27,796.96,30.77
22.11.2017,1550.03,126.09,34.01,64.25,802.07,30.79
21.11.2017,1574.49,127.8,34.48,63.53,810.62,30.67
17.11.2017,1561,127.09,33.16,61.87,803.29,31
16.11.2017,1588.87,127.11,33.35,60.75,796.4,30.95
15.11.2017,1606.75,128.17,32.91,59.91,795.25,30.94
14.11.2017,1600.65,128.69,32.75,60.8,803.41,30.97
13.11.2017,1598.02,130.94,32.77,62.7,808.76,30.9
10.11.2017,1603,129.68,32.86,62.32,812.31,30.98
09.11.2017,1600,132.9,33.54,63.83,807.52,31.38
08.11.2017,1613.6,130.71,32.6,62.92,804.25,31.28
07.11.2017,1612.73,129.81,32.74,63.53,812.58,31.28
06.11.2017,1605.5,131.38,33.54,64.86,812.45,31.55
03.11.2017,1616.96,126.84,33.08,64.22,830.11,32.05
01.11.2017,1580.02,128.67,32.67,62.19,808.73,31.56
31.10.2017,1595,130.6,32.95,62.18,768.9,32.29
30.10.2017,1605.92,132.21,32.6,63.51,772.21,32.67
27.10.2017,1605,132.43,32.55,63.37,778.1,32.88
26.10.2017,1520.32,132.54,32.09,63.67,782.87,32.59
25.10.2017,1504.98,131.99,31.7,64.3,793.76,34.05
24.10.2017,1522.37,136.41,32.1,65.68,800.82,34.35
23.10.2017,1508.49,135.88,31.83,64.93,801.47,34
20.10.2017,1500,136.22,32.16,65.2,805.84,34.19
19.10.2017,1466.05,140.2,32,66.22,817.42,33.78
18.10.2017,1469.96,141.36,31.92,65.75,815.28,34.04
17.10.2017,1453.89,144.24,32.31,66.26,808.6,34.3
16.10.2017,1480,139.68,32.16,66.73,789.89,35.26
13.10.2017,1474,140.13,32.81,66.93,802.48,36
12.10.2017,1449,142.49,32.89,67.17,779.98,35.79
11.10.2017,1428.29,143.7,32.81,68.46,781.49,35.48
10.10.2017,1431.75,143.64,32.97,69.49,768.81,35.56
09.10.2017,1426,144.41,32.81,69.71,779.7,35.89
06.10.2017,1407.04,145.59,32.76,70,787.69,36.01
05.10.2017,1404.02,147.43,32.61,70.54,800.99,36.5
04.10.2017,1356,148.22,33.18,70.13,818.69,36.8
03.10.2017,1352.34,147.9,32.82,70.55,823.73,36.86
02.10.2017,1366.98,147.03,32.94,71.12,837.29,36.8
29.09.2017,1356.95,147,33.31,71.78,823.51,36.97
