entidad,edad_jefe,poblacion,hombres,mujeres,gasto,ingreso,deudas,salud,beneficios,ahorro,pago_tarjeta,bebida
Estados Unidos Mexicanos,51.2,126760856,61281707,65479149,29910.26,50309.31,479.09,1265.63,1166.04,3443.58,855.41,853.92
Aguascalientes,49.8,1435425,686433,748992,35404.42,58303.33,699.95,1646.79,924.95,4730.71,1254.98,1020.98
Baja California,49.2,3783848,1882743,1901105,37057.8,67820.56,195,1172.13,625.92,3317.97,617.23,1319.18
Baja California Sur,48,809471,406949,402522,35822.69,64265.86,584.91,1149.29,873.57,2527.29,1482.28,1372.74
Campeche,49.6,934631,455509,479122,28562.13,47275.79,1274.17,1288.5,1556.9,4269.7,794.53,1085.67
Coahuila de Zaragoza,51,3170331,1561797,1608534,32333.03,55670.65,737.61,1129.64,787.17,3928.63,915.5,1394.85
Colima,50.8,734429,356650,377779,34696.86,56297.28,821.49,1402.7,1080.12,3046.25,1990.4,1071.26
Chiapas,50.1,5587434,2672189,2915245,19452.48,29167.59,332.22,988.42,1799.82,2625.73,172.96,419.53
Chihuahua,49.7,3764016,1846937,1917079,27851.58,60263.33,231.07,766.44,795.99,2309.49,751.57,1067.29
Ciudad de México,54.1,9240644,4380903,4859741,37770.77,67356.7,222.35,1481.75,1282.37,4519.67,1712.89,702.18
Durango,51.5,1849336,898721,950615,28921.68,50361.29,925.92,1046.13,1281.66,5429.43,963.48,1049.85
Guanajuato,51.2,6199099,2979876,3219223,28331.08,48387.71,495.33,967.33,976.13,3157.46,501.66,801.66
Guerrero,51.5,3558712,1700691,1858021,21845.68,32515.69,436.46,1225.27,1901.69,2699.05,235.51,748.94
Hidalgo,51.6,3094726,1461066,1633660,24583.81,40090.31,283.69,1616.75,1434.36,1798.49,326.34,440.58
Jalisco,51.1,8382571,4044992,4337579,35219.99,55746.31,550.65,1404.23,931.8,3206.27,1022.36,973.62
Estado de México,51,17079245,8339373,8739872,30463.13,49620.1,284.16,937.37,760.1,2842.07,417.18,593.88
Michoacán de Ocampo,51,4793878,2324590,2469288,32281.06,46410.41,503.09,1874.55,1387.38,5160.15,644.65,888.44
Morelos,52.7,1976073,942759,1033314,26778.24,42041.24,655.47,1182.07,1176.88,3045.23,852.37,651.48
Nayarit,51.4,1238502,597941,640561,31628.42,51964.79,735.05,1427.03,1255.12,2766.76,1004.57,1038.77
Nuevo León,52.8,5856730,2882850,2973880,36649.62,72930.71,578.94,1438.91,914.22,6916.12,1906.8,1431.37
Oaxaca,51.5,4167444,1966362,2201082,21683.98,36263.22,513.74,1345.92,1871.05,1118.6,409.45,429.86
Puebla,50.8,6625691,3129916,3495775,26162.41,39616.45,257.62,1498.67,1194.32,2826.97,595.97,562.71
Querétaro,49.6,2395540,1146058,1249482,36361.2,60435.02,577.47,1557.04,853.89,5318.18,1664.84,947.51
Quintana Roo,46.5,1880517,946634,933883,29245.51,46379.61,422.36,835.76,923.91,1561.9,1084.96,1234.5
San Luis Potosí,52,2833293,1361789,1471504,28682.22,47819.39,554.33,1366.45,1371.76,3280.3,767.64,944.58
Sinaloa,52.2,3041966,1482476,1559490,34112.36,55834.4,892.85,2125.16,1407.05,8910.07,1581.26,1368.83
Sonora,51.2,2957587,1471608,1485979,32807.04,61358.11,979.99,1167.2,1067.23,2380.34,1500.71,1137.88
Tabasco,49.9,2415836,1169432,1246404,22804.77,41665.47,329.41,885.9,1587.4,443.19,505.98,585.7
Tamaulipas,50.1,3531357,1732758,1798599,28118.05,49688.16,431.38,1119.57,981.11,2281.36,544.99,1179.34
Tlaxcala,50.9,1350048,648617,701431,24051.94,37918.64,261.4,1070.84,1370.6,2177.85,342.33,285.65
Veracruz de Ignacio de la Llave,52.3,8104760,3911687,4193073,23586.21,35126.25,669.06,1227.48,1503.23,2578.55,573.31,632.75
Yucatán,50.4,2338416,1106282,1232134,29100.03,46765.71,1220.65,1517.29,1453.15,4385.42,2052.09,1430.57
Zacatecas,52.2,1629300,785119,844181,27877.35,44405.22,300.74,1462.28,1519.29,5794.1,518.6,823.11
