"make" "address" "all" "xd" "our" "over" "remove" "internet" "order" "mail" "receive" "will" "people" "report" "addresses" "free" "business" "email" "you" "credit" "your" "font" "x000" "money" "hp" "hpl" "george" "x650" "lab" "labs" "telnet" "x857" "data" "x415" "x85" "technology" "x1999" "parts" "pm" "direct" "cs" "meeting" "original" "project" "re" "edu" "table" "conference" "x." "x.." "x...1" "x..1" "x..2" "x..3" "crla" "crll" "crrt" "classdigit" "class" "classdigit.1" "X" "V1" "X.1"
0 .64 .64 0 .32 0 0 0 0 0 0 .64 0 0 0 .32 0 1.29 1.93 0 .96 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 .778 0 0 3.756 61 278 1 "spam" "1" 1 0 "1"
.21 .28 .5 0 .14 .28 .21 .07 0 .94 .21 .79 .65 .21 .14 .14 .07 .28 3.47 0 1.59 0 .43 .43 0 0 0 0 0 0 0 0 0 0 0 0 .07 0 0 0 0 0 0 0 0 0 0 0 0 .132 0 .372 .18 .048 5.114 101 1028 1 "spam" "1" 1 0 "1"
.06 0 .71 0 1.23 .19 .19 .12 .64 .25 .38 .45 .12 0 1.75 .06 .06 1.03 1.36 .32 .51 0 1.16 .06 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 .06 0 0 .12 0 .06 .06 0 0 .01 .143 0 .276 .184 .01 9.821 485 2259 1 "spam" "1" 1 0 "1"
0 0 0 0 .63 0 .31 .63 .31 .63 .31 .31 .31 0 0 .31 0 0 3.18 0 .31 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 .137 0 .137 0 0 3.537 40 191 1 "spam" "1" 1 0 "1"
0 0 0 0 .63 0 .31 .63 .31 .63 .31 .31 .31 0 0 .31 0 0 3.18 0 .31 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 .135 0 .135 0 0 3.537 40 191 1 "spam" "1" 1 0 "1"
0 0 0 0 1.85 0 0 1.85 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 .223 0 0 0 0 3 15 54 1 "spam" "1" 1 0 "1"
0 0 0 0 1.92 0 0 0 0 .64 .96 1.28 0 0 0 .96 0 .32 3.85 0 .64 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 .054 0 .164 .054 0 1.671 4 112 1 "spam" "1" 1 0 "1"
0 0 0 0 1.88 0 0 1.88 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 .206 0 0 0 0 2.45 11 49 1 "spam" "1" 1 0 "1"
.15 0 .46 0 .61 0 .3 0 .92 .76 .76 .92 0 0 0 0 0 .15 1.23 3.53 2 0 0 .15 0 0 0 0 0 0 0 0 .15 0 0 0 0 0 0 0 0 0 .3 0 0 0 0 0 0 .271 0 .181 .203 .022 9.744 445 1257 1 "spam" "1" 1 0 "1"
.06 .12 .77 0 .19 .32 .38 0 .06 0 0 .64 .25 0 .12 0 0 .12 1.67 .06 .71 0 .19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 .06 0 0 0 0 .04 .03 0 .244 .081 0 1.729 43 749 1 "spam" "1" 1 0 "1"
0 0 0 0 0 0 .96 0 0 1.92 .96 0 0 0 0 0 0 .96 3.84 0 .96 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 .96 0 0 0 0 0 0 0 0 0 0 0 .462 0 0 1.312 6 21 1 "spam" "1" 1 0 "1"
0 0 .25 0 .38 .25 .25 0 0 0 .12 .12 .12 0 0 0 0 0 1.16 0 .77 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 .022 .044 0 .663 0 0 1.243 11 184 1 "spam" "1" 1 0 "1"
0 .69 .34 0 .34 0 0 0 0 0 0 .69 0 0 0 .34 0 1.39 2.09 0 1.04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 .056 0 .786 0 0 3.728 61 261 1 "spam" "1" 1 0 "1"
0 0 0 0 .9 0 .9 0 0 .9 .9 0 .9 0 0 0 0 0 2.72 0 .9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.083 7 25 1 "spam" "1" 1 0 "1"
0 0 1.42 0 .71 .35 0 .35 0 .71 0 .35 0 0 0 5.35 0 0 3.21 0 2.85 0 .35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 .102 0 .357 0 0 1.971 24 205 1 "spam" "1" 1 0 "1"
0 .42 .42 0 1.27 0 .42 0 0 1.27 0 0 0 0 0 1.27 0 0 1.7 .42 1.27 0 0 .42 0 0 0 0 0 0 0 0 0 0 0 0 1.27 0 0 .42 0 0 0 0 0 0 0 0 0 .063 0 .572 .063 0 5.659 55 249 1 "spam" "1" 1 0 "1"
0 0 0 0 .94 0 0 0 0 0 0 0 0 0 0 0 0 0 1.88 0 2.83 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 .428 0 0 4.652 31 107 1 "spam" "1" 1 0 "1"
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.11 0 .7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.975 .37 0 35.461 95 461 1 "spam" "1" 1 0 "1"
0 0 .55 0 1.11 0 .18 0 0 0 0 0 .92 0 .18 0 .37 .37 3.15 0 .92 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 .182 0 .455 0 0 1.32 4 70 1 "spam" "1" 1 0 "1"
0 .63 0 0 1.59 .31 0 0 .31 0 0 .63 0 0 1.27 .63 .31 3.18 2.22 0 1.91 0 .31 .63 0 0 0 .31 0 0 0 0 0 0 0 0 0 0 0 1.59 0 0 0 0 0 0 0 0 0 .275 0 .055 .496 0 3.509 91 186 1 "spam" "1" 1 0 "1"
