City       TMR       SMIN    SMEAN    SMAX    PMIN    PMEAN    PMAX     PM2       PERWH     NONPOOR    GE65    LPOP
PROVIDEN    1096      30     163      349     56      119      223     116.1     97.9      83.9      109    58.5645
 JACKSON      789      29      70      161     27       74      124      21.3     60.0      69.1       64    52.7195
 JOHNSTOW    1072      88     123      245     70      166      452      15.8     98.7      73.3      103    54.4829
 JERSEYC     1199     155     229      340     63      147      253    1357.2     93.1      87.3      103    57.8585
 HUNTINGT     967      60      70      137     56      122      219      18.1     97.0      73.2       93    54.0617
 DESMOIN      950      31      88      188     61      183      329      44.8     95.9      87.1       97    54.2540
 DENVER       841       2      61      188     54      126      229      25.4     95.8      86.9       82    59.6819
 READING     1113      50      94      186     34      120      242      31.9     98.2      86.1      112    54.3999
 TOLEDO      1031      67      86      309     52      104      193     133.2     90.5      86.1       98    56.5985
 FRESNO       845      18      34      198     45      119      304       6.1     92.5      78.5       81    55.6342
 MEMPHIS      873      35      48       69     46      102      201      83.5     63.6      72.5       73    57.9728
 YORK         957     120     162      488     28      147      408      26.2     97.7      84.8       97    53.7719
 MILWAUKE     921      65     134      236     49      150      299     150.2     94.4      90.4       88    60.7711
 SAVANNAH     990      49      71      120     46       82      192      42.7     65.9      72.0       65    52.7485
 OMAHA        922      20      74      148     39      107      198      29.9     94.0      86.4       90    56.6075
 TOPEKA       904      19      37       91     52      101      158      25.9     92.7      84.1       99    51.5010
 COLUMBUS     877      94     161      276     74      119      190     127.2     88.1      86.3       79    58.3440
 BEAUMONT     728      27      71      144     32       76      190      23.5     79.3      79.9       58    54.8574
 WINSTON      802      28      58      128     72      147      306      44.7     75.8      79.9       62    52.7744
 DETROIT      817      52     128      260     59      146      235     191.5     84.9      86.5       72    65.7546
 ELPASO       618      47      87      207     49      150      373      29.8     96.7      77.9       45    54.9703
 MACON        869      18      27      128     22      122      754      28.6     69.0      73.7       62    52.5624
 ROCKFORD     842      33      66      210     36       86      143      40.3     95.8      88.2       85    53.2173
 JACKSON      928      41      52      138     39       77      124      18.7     94.3      86.5       90    51.2055
 FALLRIV     1157      62      79      136     18      102      254      71.7     98.7      82.9      116    56.0042
 BOSTON      1112      42     163      337     55      141      252     174.5     97.3      88.5      109    64.9275
 DAYTON       847      18     106      241     50      132      327      53.9     89.8      87.1       74    58.4175
 CHARLOTT     791      43      81      147     62      124      234      50.2     75.4      79.5       57    54.3475
 MIAMI        897      44      57       68     33       54      124      45.5     85.1      77.2      100    59.7083
 BRIDGEPO     938     137     205      308     32       91      182     103.3     94.7      90.7       94    58.1530
 SIOUXFA      795      18      55      121     25      108      358      10.6     99.3      82.4       92    49.3739
 CHICAGO     1000      75     166      328     88      182      296     167.5     85.2      89.4       86    67.9385
 SOUTHBE      888      73      77      261     28       90      164      51.1     94.0      88.4       84    53.7770
 NORFOLK      803      49     112      198     39       89      242      86.7     73.6      73.1       53    57.6231
 CLEVELAN     969      69     160      282     86      174      336     261.1     85.5      88.6       89    62.5445
 AUSTIN       689      40      46       58     10       78      157      20.9     87.2      75.2       76    53.2661
 KNOXVILL     825      56      77      157     28      135      302      25.8     92.5      72.5       74    55.6594
 INDIANAP     969      50     139      269     92      178      275     173.5     85.6      87.2       85    58.4359
 NASHVIL      919      54     160      362     45      130      310      75.1     80.8      76.5       79    56.0178
 SEATTLE      938       1      47      179     32       69      141      26.2     95.2      88.8       96    60.4423
 DALLAS       757      31      69      148     22       96      230      29.7     85.4      81.4       71    60.3487
 MOBILE       823      47      67      248     29      129      284      25.3     67.7      74.6       57    54.9735
 PHOENIX      758      15      86      266     98      247      573       7.2     94.5      80.9       72    58.2185
 AUGUSTA      823      31      46      158     28       66      142      15.2     70.2      67.8       60    53.3574
 YOUNGSTO     915      75     145      263     58      148      371      49.0     90.8      87.1       89    57.0672
 CHATTANO     940      10     105      191     69      186      361      27.7     82.4      74.0       77    54.5205
 GALVESTO     873      62      72       86     23       55      125      32.7     78.6      76.8       64    51.4726
 FORTWOR      789       9      32       73     28       79      152      35.8     89.3      80.7       73    57.5832
 FLINT        747      64      80      229     49      124      468      58.2     90.1      87.8       62    55.7323
 CHARLEST     780      15     283      940     55      225      958      27.9     94.2      78.6       70    54.0299
 NEWHAVE      983      39     124      288     42       88      248     108.3     94.7      89.9       99    58.1975
 PORTLAND    1146      42     140      287     50       82      147      21.4     99.5      83.1      114    52.6186
