EQUIPO,TJ,JJ,G,E,P,GF,GC,PTS.,TIT.,SC.
América,111,2644,1149,773,722,4271,3344,3526,15,10
Guadalajara,111,2644,1058,809,777,3818,3219,3295,12,10
Toluca,101,2396,965,700,731,3556,2921,3063,10,8
Cruz Azul,90,2120,909,660,551,3290,2472,2904,9,12
Atlas,108,2550,871,723,956,3589,3759,2795,3,3
Monterrey,96,2278,832,677,769,3197,3166,2733,5,6
UNAM,92,2172,836,643,693,3194,2784,2670,7,8
León,87,2164,855,587,722,3316,2956,2543,8,7
Atlante,89,2234,788,643,803,3326,3255,2431,3,4
Puebla,91,2144,717,629,798,2892,3058,2322,2,2
UA Nuevo León,77,1742,640,546,556,2389,2213,2209,8,6
Necaxa,81,1835,624,580,648,2593,2563,2099,3,3
Morelia,75,1676,561,484,631,2240,2434,1926,1,3
Santos Laguna,64,1254,459,360,433,1849,1797,1667,6,6
Pachuca,62,1180,443,310,427,1686,1659,1557,7,4
Veracruz,62,1540,496,397,647,2123,2534,1537,2,–
UA Guadalajara,54,1336,449,408,479,1807,1927,1489,1,1
Zacatepec,27,832,289,228,315,1125,1165,806,2,1
U. Guadalajara,23,784,266,256,262,1022,1003,796,–,3
Querétaro,40,766,203,221,342,825,1128,793,–,1
Irapuato,31,858,235,258,345,1004,1267,753,–,–
Oro,27,714,273,155,286,1255,1310,701,1,5
Chiapas,30,518,166,152,200,651,765,647,–,–
Tampico,22,620,206,166,248,985,1090,578,1,–
Tijuana,26,436,140,127,169,518,603,547,1,–
San Luis,24,488,143,145,200,593,723,536,–,1
Atlético Potosino,16,560,161,171,228,630,831,493,–,–
Atlético Español,11,406,143,125,138,559,549,411,–,1
Neza,11,370,111,137,122,459,475,359,–,–
Celaya,17,337,90,98,149,423,542,351,–,1
Jalisco,10,364,114,116,134,508,543,344,–,–
Tampico Madero,10,330,121,80,129,511,516,322,–,2
Laguna,11,376,99,119,158,429,530,317,–,–
Toros Neza,11,244,80,54,110,357,445,272,–,1
UA Tamaulipas,8,302,80,97,125,308,420,257,–,–
Unión Curtidores,8,304,79,98,127,364,441,256,–,–
Marte,12,292,87,64,141,542,720,238,1,–
España,7,182,89,25,68,458,358,203,1,1
Asturias,7,182,75,33,74,402,392,183,1,–
Moctezuma,7,182,71,34,77,405,423,176,–,–
Atlético San Luis,10,164,47,34,83,196,264,175,–,–
Juárez ,10,164,40,41,83,167,249,161,–,–
Cobras,5,192,42,72,78,194,275,156,–,–
Torreón,6,194,48,59,87,204,300,155,–,–
ADO,6,156,57,27,72,307,345,141,–,–
Mazatlán,8,136,36,32,68,163,229,140,–,–
Ángeles,5,142,37,46,59,178,226,120,–,–
San Sebastián,6,162,42,35,85,267,409,119,–,–
Sinaloa,6,102,27,30,45,123,167,111,–,–
Ciudad Madero,4,132,23,40,69,140,270,86,–,–
Nacional,4,108,26,32,50,122,198,84,–,–
Cuautla,4,102,25,30,47,111,177,80,–,–
Nuevo León,3,90,26,23,41,110,135,75,–,–
Zamora,4,104,21,30,53,143,214,72,–,–
BUAP,4,68,20,11,37,81,123,71,–,–
Atletas Campesinos,2,76,26,18,32,86,88,70,–,–
La Piedad,3,58,22,10,26,81,99,70,–,–
Oaxtepec,2,76,24,17,35,100,125,65,–,–
Indios Juárez,4,68,14,21,33,56,103,63,–,–
Cuernavaca,1,19,6,5,8,24,27,23,–,–
