Sales,Price,Advertising
400.3,7,53
365,9,68
387.6,8,76
432,5,70
401.4,7,64
387.8,8,78
431,5,60
400.1,7,51
404.7,7,97
388.8,8,88
388.9,8,89
415.2,6,52
416.5,6,65
365,9,51
434.1,5,91
435,5,100
401.5,7,65
401.8,7,68
365,9,92
365,9,72
365,9,63
365,9,70
350,10,52
416.5,6,65
385.2,8,52
434.3,5,93
418.3,6,83
403.5,7,85
350,10,65
417.5,6,75
350,10,96
385.2,8,52
365,9,78
402.5,7,75
419.2,6,92
401.5,7,65
350,10,52
350,10,94
350,10,85
434.9,5,99
434.5,5,95
386.3,8,63
434,5,90
350,10,71
387.5,8,75
432.7,5,77
403.7,7,87
365,9,74
400,7,50
350,10,78
388.1,8,81
388.8,8,88
418.5,6,85
365,9,93
415.7,6,57
415,6,50
419.9,6,99
433.8,5,88
365,9,68
402.7,7,77
350,10,59
434.7,5,97
419.6,6,96
387.9,8,79
430.6,5,56
365,9,81
365,9,91
350,10,72
434.9,5,99
387.8,8,78
365,9,65
365,9,81
365,9,57
385.6,8,56
400.3,7,53
350,10,64
419.2,6,92
433.3,5,83
404.5,7,95
365,9,60
430.8,5,58
430.7,5,57
389.7,8,97
401,7,60
402.3,7,73
365,9,83
415.3,6,53
365,9,63
404.6,7,96
350,10,69
418.3,6,83
386.7,8,67
401.8,7,68
404.2,7,92
416.8,6,68
350,10,54
430.9,5,59
432.4,5,74
365,9,59
432.2,5,72
365,9,73
365,9,63
401.6,7,66
365,9,84
365,9,64
387,8,70
416,6,60
387.7,8,77
401.2,7,62
401,7,60
365,9,87
418.3,6,83
385.1,8,51
365,9,57
388.2,8,82
417.6,6,76
365,9,77
350,10,74
350,10,53
402.2,7,72
350,10,90
419.3,6,93
389.2,8,92
365,9,62
433.3,5,83
389.5,8,95
365,9,63
432.6,5,76
387,8,70
431.4,5,64
350,10,98
401.3,7,63
400.9,7,59
365,9,69
431.8,5,68
350,10,69
431.1,5,61
365,9,89
419.8,6,98
402.9,7,79
350,10,73
404.9,7,99
386,8,60
389.6,8,96
433.6,5,86
400.5,7,55
401.4,7,64
417.4,6,74
365,9,57
401.4,7,64
418.9,6,89
416.8,6,68
405,7,100
350,10,64
350,10,59
415.9,6,59
400.9,7,59
350,10,73
418.5,6,85
403.8,7,88
401.4,7,64
431,5,60
417.6,6,76
365,9,54
386.9,8,69
403,7,80
417.8,6,78
386.1,8,61
387.2,8,72
402.8,7,78
403.5,7,85
416.6,6,66
365,9,85
434.8,5,98
431.8,5,68
350,10,73
405,7,100
350,10,65
386,8,60
365,9,87
350,10,74
404.3,7,93
350,10,72
365,9,88
430.6,5,56
418.2,6,82
401.3,7,63
386.6,8,66
434.1,5,91
365,9,80
350,10,62
415.1,6,51
389.6,8,96
350,10,67
433.4,5,84
401.5,7,65
432.8,5,78
433.5,5,85
404.8,7,98
402.8,7,78
388.5,8,85
416,6,60
417.8,6,78
434.4,5,94
350,10,54
365,9,97
419.8,6,98
365,9,55
434.7,5,97
433.1,5,81
417.9,6,79
386.6,8,66
415,6,50
350,10,93
403.9,7,89
365,9,73
431.3,5,63
350,10,95
403.2,7,82
434.9,5,99
419.4,6,94
416.6,6,66
418.5,6,85
404.6,7,96
365,9,93
415.3,6,53
418.3,6,83
385.6,8,56
415.2,6,52
431.7,5,67
403.8,7,88
434.1,5,91
350,10,62
365,9,51
385.9,8,59
365,9,66
350,10,86
365,9,94
386.5,8,65
415.3,6,53
415.3,6,53
365,9,89
388.9,8,89
400.7,7,57
402.8,7,78
417.8,6,78
386.4,8,64
350,10,72
388.9,8,89
419.8,6,98
365,9,69
350,10,84
430.4,5,54
400,7,50
386.4,8,64
418.4,6,84
403.5,7,85
416.2,6,62
433.9,5,89
387.3,8,73
387,8,70
432.6,5,76
350,10,57
365,9,76
365,9,92
404.6,7,96
350,10,80
405,7,100
417.2,6,72
385.9,8,59
350,10,94
350,10,61
350,10,54
365,9,68
350,10,83
365,9,93
434.3,5,93
401.4,7,64
365,9,76
365,9,72
350,10,87
350,10,77
401.3,7,63
402,7,70
387.9,8,79
388.7,8,87
385.1,8,51
415.6,6,56
386.2,8,62
402.9,7,79
434.3,5,93
400.7,7,57
401.4,7,64
434.6,5,96
350,10,96
430.2,5,52
419.4,6,94
387.4,8,74
403.7,7,87
350,10,86
417.1,6,71
388.9,8,89
419.4,6,94
365,9,69
389.6,8,96
418.4,6,84
365,9,65
388.4,8,84
350,10,66
418.6,6,86
365,9,57
365,9,98
365,9,93
418.8,6,88
350,10,50
365,9,65
404.8,7,98
418.4,6,84
434.1,5,91
431.2,5,62
365,9,85
417.1,6,71
415.5,6,55
434.6,5,96
386.6,8,66
350,10,69
430.8,5,58
365,9,50
350,10,91
432.4,5,74
432.7,5,77
385.1,8,51
350,10,49
400.4,7,54
