Fecha,México,Alemania,Brasil,China,España,Italia,Portugal,Rusia,Turquía,Perú,Sudáfrica,Polonia,Indonesia,Chile,Colombia,Hong Kong,Corea,Malasia,Tailandia,USA,Francia,Grecia
02/01/2004,119.020833333,4.690561533,395.757142857,26.9946336,4.212298384,7.83691756,6.673076923,204.538524727,317.676302918,292,105.111111111,44.327540107,321.166666667,51.78,428.142857143,20.5,48.176744718,34.5684946,28.2,1.572192513,4.090909091,9.066905617
05/01/2004,112.333333333,4.690561533,371.423076923,27.75,4.212298384,7.83691756,6.673076923,196.146658062,307.604587344,277.272727273,107.5,41.428571429,304.5,49.114285714,406.375,20.5,47.497674662,34.863636364,28.2,1.572192513,4.090909091,9.333333333
06/01/2004,107.571428571,4.690561533,366.115384615,27.285714286,4.140986715,7.972110212,6.75,192.626624902,311.066539093,272.545454545,106.666666667,40.944444444,297.5,48.971428571,373.642857143,20.5,44.230769231,32.909090909,28.6,1.572192513,4.068181818,9.125
07/01/2004,102.785714286,4.690561533,360.346153846,27.5,4.140986715,8.159610212,6.75,190.138759002,307.636427059,265.833333333,106,40.05,287.25,48.828571429,347.461538462,20.5,44.820512821,33.490384615,28.857142857,1.572192513,4.068181818,9.125
08/01/2004,99.944444444,4.82150538,351.041666667,27.221686712,4.199810244,8.186635942,6.75,177.135761446,298.203745503,248.28125,100.7,38.608333333,287.25,48.114285714,335.990196078,20.5,45.165432099,33.623183693,28.428571429,1.572192513,4.003472222,9.041666667
09/01/2004,99.055555556,4.82150538,346.15625,27.284186712,4.199810244,8.238456671,6.75,173.215570808,293.12316372,248,101.214285714,39.1,287,45.755555556,338.482352941,20.5,45.133333333,33.821557114,27.714285714,1.572192513,4,8.928571429
12/01/2004,99,4.82150538,343.65625,27.409186712,4.170398479,8.238456671,6.75,169.682200009,290.901051243,246.538461538,100,39.636363636,286.75,45.644444444,334.952941176,20.5,45.397058824,34.081335012,27.666666667,1.572192513,3.916666667,8.928571429
13/01/2004,104.833333333,4.82150538,358.617647059,27.974832633,4.170398479,8.238456671,7,169.939912561,295.002328538,248.307692308,100.411764706,39.454545455,287.25,45.35,345.658823529,20.5,46.655455389,34.346292277,28.2,1.572192513,3.916666667,9.1875
14/01/2004,110.533333333,4.84650538,373.5125,28.475276658,4.170398479,8.238456671,7,177.558614861,322.659027336,249.576923077,102.785714286,39.128571429,287.75,45.542592593,365.637575758,20.5,48.455960294,35.786341917,27.833333333,1.572192513,3.916666667,9.1875
15/01/2004,109.291666667,4.84650538,371.88,29.245775454,4.170398479,8.238456671,7,180.260076484,316.346022623,251.057692308,102.111111111,39.178571429,286.75,46.892901235,365.568705234,20.5,49.625352261,36.411341917,28.166666667,1.572192513,3.916666667,8.928571429
