Radiation
city: Ciudad de M&eacute;xico
cityCode: MEX
country: M&eacute;xico
mesurementAgency: SIMAT
URL: http://www.aire.cdmx.gob.mx
timeStamp: 2019/01/01 al 2019/12/31
average_interval: 001h
Date,cve_station,parameter,value,unit

01-01-2019 01:00,CHO,UVA,0,17
01-01-2019 01:00,CUT,UVA,0,17
01-01-2019 01:00,FAC,UVA,0,17
01-01-2019 01:00,LAA,UVA,0,17
01-01-2019 01:00,MER,UVA,0,17
01-01-2019 01:00,MON,UVA,0,17
01-01-2019 01:00,MPA,UVA,,17
01-01-2019 01:00,PED,UVA,0,17
01-01-2019 01:00,SAG,UVA,0,17
01-01-2019 01:00,SFE,UVA,0,17
01-01-2019 01:00,TLA,UVA,,17
01-01-2019 02:00,CHO,UVA,0,17
01-01-2019 02:00,CUT,UVA,0,17
01-01-2019 02:00,FAC,UVA,0,17
01-01-2019 02:00,LAA,UVA,0,17
01-01-2019 02:00,MER,UVA,0,17
01-01-2019 02:00,MON,UVA,0,17
01-01-2019 02:00,MPA,UVA,,17
01-01-2019 02:00,PED,UVA,0,17
01-01-2019 02:00,SAG,UVA,0,17
01-01-2019 02:00,SFE,UVA,0,17
01-01-2019 02:00,TLA,UVA,,17
01-01-2019 03:00,CHO,UVA,0,17
01-01-2019 03:00,CUT,UVA,0,17
01-01-2019 03:00,FAC,UVA,0,17
01-01-2019 03:00,LAA,UVA,0,17
01-01-2019 03:00,MER,UVA,0,17
01-01-2019 03:00,MON,UVA,0,17
01-01-2019 03:00,MPA,UVA,,17
01-01-2019 03:00,PED,UVA,0,17
01-01-2019 03:00,SAG,UVA,0,17
01-01-2019 03:00,SFE,UVA,0,17
01-01-2019 03:00,TLA,UVA,,17
01-01-2019 04:00,CHO,UVA,0,17
01-01-2019 04:00,CUT,UVA,0,17
01-01-2019 04:00,FAC,UVA,0,17
01-01-2019 04:00,LAA,UVA,0,17
01-01-2019 04:00,MER,UVA,0,17
01-01-2019 04:00,MON,UVA,0,17
01-01-2019 04:00,MPA,UVA,,17
01-01-2019 04:00,PED,UVA,0,17
01-01-2019 04:00,SAG,UVA,0,17
01-01-2019 04:00,SFE,UVA,0,17
01-01-2019 04:00,TLA,UVA,,17
01-01-2019 05:00,CHO,UVA,0,17
01-01-2019 05:00,CUT,UVA,0,17
01-01-2019 05:00,FAC,UVA,0,17
01-01-2019 05:00,LAA,UVA,0,17
01-01-2019 05:00,MER,UVA,0,17
01-01-2019 05:00,MON,UVA,0,17
01-01-2019 05:00,MPA,UVA,,17
01-01-2019 05:00,PED,UVA,0,17
01-01-2019 05:00,SAG,UVA,0,17
01-01-2019 05:00,SFE,UVA,0,17
01-01-2019 05:00,TLA,UVA,,17
01-01-2019 06:00,CHO,UVA,0,17
01-01-2019 06:00,CUT,UVA,0,17
01-01-2019 06:00,FAC,UVA,0,17
01-01-2019 06:00,LAA,UVA,0,17
01-01-2019 06:00,MER,UVA,0,17
01-01-2019 06:00,MON,UVA,0,17
01-01-2019 06:00,MPA,UVA,,17
01-01-2019 06:00,PED,UVA,0,17
01-01-2019 06:00,SAG,UVA,0,17
01-01-2019 06:00,SFE,UVA,0,17
01-01-2019 06:00,TLA,UVA,,17
01-01-2019 07:00,CHO,UVA,0.017,17
01-01-2019 07:00,CUT,UVA,0,17
01-01-2019 07:00,FAC,UVA,0,17
01-01-2019 07:00,LAA,UVA,0,17
01-01-2019 07:00,MER,UVA,0.001,17
01-01-2019 07:00,MON,UVA,0,17
01-01-2019 07:00,MPA,UVA,,17
01-01-2019 07:00,PED,UVA,0.022,17
01-01-2019 07:00,SAG,UVA,0,17
01-01-2019 07:00,SFE,UVA,0,17
01-01-2019 07:00,TLA,UVA,,17
01-01-2019 08:00,CHO,UVA,0.147,17
01-01-2019 08:00,CUT,UVA,0.097,17
01-01-2019 08:00,FAC,UVA,0.121,17
01-01-2019 08:00,LAA,UVA,0.11,17
01-01-2019 08:00,MER,UVA,0.133,17
01-01-2019 08:00,MON,UVA,0.122,17
01-01-2019 08:00,MPA,UVA,,17
01-01-2019 08:00,PED,UVA,0.164,17
01-01-2019 08:00,SAG,UVA,0.114,17
01-01-2019 08:00,SFE,UVA,0.156,17
01-01-2019 08:00,TLA,UVA,,17
01-01-2019 09:00,CHO,UVA,0.749,17
01-01-2019 09:00,CUT,UVA,0.586,17
01-01-2019 09:00,FAC,UVA,0.706,17
01-01-2019 09:00,LAA,UVA,0.606,17
01-01-2019 09:00,MER,UVA,0.685,17
01-01-2019 09:00,MON,UVA,0.586,17
01-01-2019 09:00,MPA,UVA,,17
01-01-2019 09:00,PED,UVA,0.785,17
01-01-2019 09:00,SAG,UVA,0.589,17
01-01-2019 09:00,SFE,UVA,0.899,17
01-01-2019 09:00,TLA,UVA,,17
01-01-2019 10:00,CHO,UVA,1.625,17
01-01-2019 10:00,CUT,UVA,1.413,17
01-01-2019 10:00,FAC,UVA,1.641,17
01-01-2019 10:00,LAA,UVA,1.447,17
01-01-2019 10:00,MER,UVA,1.344,17
01-01-2019 10:00,MON,UVA,1.335,17
01-01-2019 10:00,MPA,UVA,,17
01-01-2019 10:00,PED,UVA,1.735,17
01-01-2019 10:00,SAG,UVA,1.297,17
01-01-2019 10:00,SFE,UVA,1.892,17
01-01-2019 10:00,TLA,UVA,,17
01-01-2019 11:00,CHO,UVA,2.356,17
01-01-2019 11:00,CUT,UVA,2.499,17
01-01-2019 11:00,FAC,UVA,2.57,17
01-01-2019 11:00,LAA,UVA,2.375,17
01-01-2019 11:00,MER,UVA,2.265,17
01-01-2019 11:00,MON,UVA,2.393,17
01-01-2019 11:00,MPA,UVA,,17
01-01-2019 11:00,PED,UVA,2.535,17
01-01-2019 11:00,SAG,UVA,2.266,17
01-01-2019 11:00,SFE,UVA,2.818,17
01-01-2019 11:00,TLA,UVA,,17
01-01-2019 12:00,CHO,UVA,2.961,17
01-01-2019 12:00,CUT,UVA,3.021,17
01-01-2019 12:00,FAC,UVA,3.123,17
01-01-2019 12:00,LAA,UVA,2.921,17
01-01-2019 12:00,MER,UVA,3.05,17
01-01-2019 12:00,MON,UVA,3.073,17
01-01-2019 12:00,MPA,UVA,,17
01-01-2019 12:00,PED,UVA,2.956,17
01-01-2019 12:00,SAG,UVA,2.879,17
01-01-2019 12:00,SFE,UVA,3.449,17
01-01-2019 12:00,TLA,UVA,,17
01-01-2019 13:00,CHO,UVA,3.519,17
01-01-2019 13:00,CUT,UVA,3.621,17
01-01-2019 13:00,FAC,UVA,3.294,17
01-01-2019 13:00,LAA,UVA,3.295,17
01-01-2019 13:00,MER,UVA,3.374,17
01-01-2019 13:00,MON,UVA,3.466,17
01-01-2019 13:00,MPA,UVA,,17
01-01-2019 13:00,PED,UVA,2.84,17
01-01-2019 13:00,SAG,UVA,3.536,17
01-01-2019 13:00,SFE,UVA,3.647,17
01-01-2019 13:00,TLA,UVA,,17
01-01-2019 14:00,CHO,UVA,3.405,17
01-01-2019 14:00,CUT,UVA,3.593,17
01-01-2019 14:00,FAC,UVA,3.096,17
01-01-2019 14:00,LAA,UVA,3.097,17
01-01-2019 14:00,MER,UVA,3.224,17
01-01-2019 14:00,MON,UVA,3.25,17
01-01-2019 14:00,MPA,UVA,,17
01-01-2019 14:00,PED,UVA,3.112,17
01-01-2019 14:00,SAG,UVA,3.212,17
01-01-2019 14:00,SFE,UVA,3.079,17
01-01-2019 14:00,TLA,UVA,,17
01-01-2019 15:00,CHO,UVA,2.864,17
01-01-2019 15:00,CUT,UVA,2.611,17
01-01-2019 15:00,FAC,UVA,2.317,17
01-01-2019 15:00,LAA,UVA,2.41,17
01-01-2019 15:00,MER,UVA,2.652,17
01-01-2019 15:00,MON,UVA,2.888,17
01-01-2019 15:00,MPA,UVA,,17
01-01-2019 15:00,PED,UVA,2.383,17
01-01-2019 15:00,SAG,UVA,2.56,17
01-01-2019 15:00,SFE,UVA,2.417,17
01-01-2019 15:00,TLA,UVA,,17
01-01-2019 16:00,CHO,UVA,1.897,17
01-01-2019 16:00,CUT,UVA,2.257,17
01-01-2019 16:00,FAC,UVA,1.536,17
01-01-2019 16:00,LAA,UVA,1.504,17
01-01-2019 16:00,MER,UVA,1.919,17
01-01-2019 16:00,MON,UVA,1.679,17
01-01-2019 16:00,MPA,UVA,,17
01-01-2019 16:00,PED,UVA,1.791,17
01-01-2019 16:00,SAG,UVA,1.547,17
01-01-2019 16:00,SFE,UVA,1.683,17
01-01-2019 16:00,TLA,UVA,,17
01-01-2019 17:00,CHO,UVA,1.228,17
01-01-2019 17:00,CUT,UVA,1.279,17
01-01-2019 17:00,FAC,UVA,0.895,17
01-01-2019 17:00,LAA,UVA,0.909,17
01-01-2019 17:00,MER,UVA,1.092,17
01-01-2019 17:00,MON,UVA,1.355,17
01-01-2019 17:00,MPA,UVA,,17
01-01-2019 17:00,PED,UVA,0.986,17
01-01-2019 17:00,SAG,UVA,1.216,17
01-01-2019 17:00,SFE,UVA,0.92,17
01-01-2019 17:00,TLA,UVA,,17
01-01-2019 18:00,CHO,UVA,0.315,17
01-01-2019 18:00,CUT,UVA,0.35,17
01-01-2019 18:00,FAC,UVA,0.312,17
01-01-2019 18:00,LAA,UVA,0.32,17
01-01-2019 18:00,MER,UVA,0.333,17
01-01-2019 18:00,MON,UVA,0.405,17
01-01-2019 18:00,MPA,UVA,,17
01-01-2019 18:00,PED,UVA,0.412,17
01-01-2019 18:00,SAG,UVA,0.371,17
01-01-2019 18:00,SFE,UVA,0.375,17
01-01-2019 18:00,TLA,UVA,,17
01-01-2019 19:00,CHO,UVA,0.024,17
01-01-2019 19:00,CUT,UVA,0.016,17
01-01-2019 19:00,FAC,UVA,0.021,17
01-01-2019 19:00,LAA,UVA,0.02,17
01-01-2019 19:00,MER,UVA,0,17
01-01-2019 19:00,MON,UVA,0.023,17
01-01-2019 19:00,MPA,UVA,,17
01-01-2019 19:00,PED,UVA,0.019,17
01-01-2019 19:00,SAG,UVA,0.016,17
01-01-2019 19:00,SFE,UVA,0.023,17
01-01-2019 19:00,TLA,UVA,,17
01-01-2019 20:00,CHO,UVA,0,17
01-01-2019 20:00,CUT,UVA,0,17
01-01-2019 20:00,FAC,UVA,0,17
01-01-2019 20:00,LAA,UVA,0,17
01-01-2019 20:00,MER,UVA,0,17
01-01-2019 20:00,MON,UVA,0,17
01-01-2019 20:00,MPA,UVA,,17
01-01-2019 20:00,PED,UVA,0,17
01-01-2019 20:00,SAG,UVA,0,17
01-01-2019 20:00,SFE,UVA,0,17
01-01-2019 20:00,TLA,UVA,,17
01-01-2019 21:00,CHO,UVA,0,17
01-01-2019 21:00,CUT,UVA,0,17
01-01-2019 21:00,FAC,UVA,0,17
01-01-2019 21:00,LAA,UVA,0,17
01-01-2019 21:00,MER,UVA,0,17
01-01-2019 21:00,MON,UVA,0,17
01-01-2019 21:00,MPA,UVA,,17
01-01-2019 21:00,PED,UVA,0,17
01-01-2019 21:00,SAG,UVA,0,17
01-01-2019 21:00,SFE,UVA,0,17
01-01-2019 21:00,TLA,UVA,,17
01-01-2019 22:00,CHO,UVA,0,17
01-01-2019 22:00,CUT,UVA,0,17
01-01-2019 22:00,FAC,UVA,0,17
01-01-2019 22:00,LAA,UVA,0,17
01-01-2019 22:00,MER,UVA,0,17
01-01-2019 22:00,MON,UVA,0,17
01-01-2019 22:00,MPA,UVA,,17
01-01-2019 22:00,PED,UVA,0,17
01-01-2019 22:00,SAG,UVA,0,17
01-01-2019 22:00,SFE,UVA,0,17
01-01-2019 22:00,TLA,UVA,,17
01-01-2019 23:00,CHO,UVA,0,17
01-01-2019 23:00,CUT,UVA,0,17
01-01-2019 23:00,FAC,UVA,0,17
01-01-2019 23:00,LAA,UVA,0,17
01-01-2019 23:00,MER,UVA,0,17
01-01-2019 23:00,MON,UVA,0,17
01-01-2019 23:00,MPA,UVA,,17
01-01-2019 23:00,PED,UVA,0,17
01-01-2019 23:00,SAG,UVA,0,17
01-01-2019 23:00,SFE,UVA,0,17
01-01-2019 23:00,TLA,UVA,,17
01-01-2019 24:00,CHO,UVA,0,17
01-01-2019 24:00,CUT,UVA,0,17
01-01-2019 24:00,FAC,UVA,0,17
01-01-2019 24:00,LAA,UVA,0,17
01-01-2019 24:00,MER,UVA,0,17
01-01-2019 24:00,MON,UVA,0,17
01-01-2019 24:00,MPA,UVA,,17
01-01-2019 24:00,PED,UVA,0,17
01-01-2019 24:00,SAG,UVA,0,17
01-01-2019 24:00,SFE,UVA,0,17
01-01-2019 24:00,TLA,UVA,,17
02-01-2019 01:00,CHO,UVA,0,17
02-01-2019 01:00,CUT,UVA,0,17
02-01-2019 01:00,FAC,UVA,0,17
02-01-2019 01:00,LAA,UVA,0,17
02-01-2019 01:00,MER,UVA,0,17
02-01-2019 01:00,MON,UVA,0,17
02-01-2019 01:00,MPA,UVA,,17
02-01-2019 01:00,PED,UVA,0,17
02-01-2019 01:00,SAG,UVA,0,17
02-01-2019 01:00,SFE,UVA,0,17
02-01-2019 01:00,TLA,UVA,,17
