Radiation
city: Ciudad de M&eacute;xico
cityCode: MEX
country: M&eacute;xico
mesurementAgency: SIMAT
URL: http://www.aire.cdmx.gob.mx
timeStamp: 2019/01/01 al 2019/12/31
average_interval: 001h
Date,cve_station,parameter,value,unit

01-01-2019 01:00,CHO,UVB,0,16
01-01-2019 01:00,CUT,UVB,0,16
01-01-2019 01:00,FAC,UVB,0,16
01-01-2019 01:00,LAA,UVB,0,16
01-01-2019 01:00,MER,UVB,,16
01-01-2019 01:00,MON,UVB,0,16
01-01-2019 01:00,MPA,UVB,,16
01-01-2019 01:00,PED,UVB,0,16
01-01-2019 01:00,SAG,UVB,0,16
01-01-2019 01:00,SFE,UVB,0,16
01-01-2019 01:00,TLA,UVB,,16
01-01-2019 02:00,CHO,UVB,0,16
01-01-2019 02:00,CUT,UVB,0,16
01-01-2019 02:00,FAC,UVB,0,16
01-01-2019 02:00,LAA,UVB,0,16
01-01-2019 02:00,MER,UVB,,16
01-01-2019 02:00,MON,UVB,0,16
01-01-2019 02:00,MPA,UVB,,16
01-01-2019 02:00,PED,UVB,0,16
01-01-2019 02:00,SAG,UVB,0,16
01-01-2019 02:00,SFE,UVB,0,16
01-01-2019 02:00,TLA,UVB,,16
01-01-2019 03:00,CHO,UVB,0,16
01-01-2019 03:00,CUT,UVB,0,16
01-01-2019 03:00,FAC,UVB,0,16
01-01-2019 03:00,LAA,UVB,0,16
01-01-2019 03:00,MER,UVB,,16
01-01-2019 03:00,MON,UVB,0,16
01-01-2019 03:00,MPA,UVB,,16
01-01-2019 03:00,PED,UVB,0,16
01-01-2019 03:00,SAG,UVB,0,16
01-01-2019 03:00,SFE,UVB,0,16
01-01-2019 03:00,TLA,UVB,,16
01-01-2019 04:00,CHO,UVB,0,16
01-01-2019 04:00,CUT,UVB,0,16
01-01-2019 04:00,FAC,UVB,0,16
01-01-2019 04:00,LAA,UVB,0,16
01-01-2019 04:00,MER,UVB,,16
01-01-2019 04:00,MON,UVB,0,16
01-01-2019 04:00,MPA,UVB,,16
01-01-2019 04:00,PED,UVB,0,16
01-01-2019 04:00,SAG,UVB,0,16
01-01-2019 04:00,SFE,UVB,0,16
01-01-2019 04:00,TLA,UVB,,16
01-01-2019 05:00,CHO,UVB,0,16
01-01-2019 05:00,CUT,UVB,0,16
01-01-2019 05:00,FAC,UVB,0,16
01-01-2019 05:00,LAA,UVB,0,16
01-01-2019 05:00,MER,UVB,,16
01-01-2019 05:00,MON,UVB,0,16
01-01-2019 05:00,MPA,UVB,,16
01-01-2019 05:00,PED,UVB,0,16
01-01-2019 05:00,SAG,UVB,0,16
01-01-2019 05:00,SFE,UVB,0,16
01-01-2019 05:00,TLA,UVB,,16
01-01-2019 06:00,CHO,UVB,0,16
01-01-2019 06:00,CUT,UVB,0,16
01-01-2019 06:00,FAC,UVB,0,16
01-01-2019 06:00,LAA,UVB,0,16
01-01-2019 06:00,MER,UVB,,16
01-01-2019 06:00,MON,UVB,0,16
01-01-2019 06:00,MPA,UVB,,16
01-01-2019 06:00,PED,UVB,0,16
01-01-2019 06:00,SAG,UVB,0,16
01-01-2019 06:00,SFE,UVB,0,16
01-01-2019 06:00,TLA,UVB,,16
01-01-2019 07:00,CHO,UVB,0.006,16
01-01-2019 07:00,CUT,UVB,0,16
01-01-2019 07:00,FAC,UVB,0.001,16
01-01-2019 07:00,LAA,UVB,0.002,16
01-01-2019 07:00,MER,UVB,,16
01-01-2019 07:00,MON,UVB,0,16
01-01-2019 07:00,MPA,UVB,,16
01-01-2019 07:00,PED,UVB,0.002,16
01-01-2019 07:00,SAG,UVB,0,16
01-01-2019 07:00,SFE,UVB,0,16
01-01-2019 07:00,TLA,UVB,,16
01-01-2019 08:00,CHO,UVB,0.067,16
01-01-2019 08:00,CUT,UVB,0.013,16
01-01-2019 08:00,FAC,UVB,0.016,16
01-01-2019 08:00,LAA,UVB,0.041,16
01-01-2019 08:00,MER,UVB,,16
01-01-2019 08:00,MON,UVB,0.022,16
01-01-2019 08:00,MPA,UVB,,16
01-01-2019 08:00,PED,UVB,0.024,16
01-01-2019 08:00,SAG,UVB,0.026,16
01-01-2019 08:00,SFE,UVB,0.022,16
01-01-2019 08:00,TLA,UVB,,16
01-01-2019 09:00,CHO,UVB,0.253,16
01-01-2019 09:00,CUT,UVB,0.183,16
01-01-2019 09:00,FAC,UVB,0.218,16
01-01-2019 09:00,LAA,UVB,0.292,16
01-01-2019 09:00,MER,UVB,,16
01-01-2019 09:00,MON,UVB,0.219,16
01-01-2019 09:00,MPA,UVB,,16
01-01-2019 09:00,PED,UVB,0.26,16
01-01-2019 09:00,SAG,UVB,0.225,16
01-01-2019 09:00,SFE,UVB,0.268,16
01-01-2019 09:00,TLA,UVB,,16
01-01-2019 10:00,CHO,UVB,0.802,16
01-01-2019 10:00,CUT,UVB,0.708,16
01-01-2019 10:00,FAC,UVB,0.78,16
01-01-2019 10:00,LAA,UVB,0.943,16
01-01-2019 10:00,MER,UVB,,16
01-01-2019 10:00,MON,UVB,0.796,16
01-01-2019 10:00,MPA,UVB,,16
01-01-2019 10:00,PED,UVB,0.908,16
01-01-2019 10:00,SAG,UVB,0.726,16
01-01-2019 10:00,SFE,UVB,0.973,16
01-01-2019 10:00,TLA,UVB,,16
01-01-2019 11:00,CHO,UVB,1.503,16
01-01-2019 11:00,CUT,UVB,1.628,16
01-01-2019 11:00,FAC,UVB,1.603,16
01-01-2019 11:00,LAA,UVB,1.851,16
01-01-2019 11:00,MER,UVB,,16
01-01-2019 11:00,MON,UVB,1.84,16
01-01-2019 11:00,MPA,UVB,,16
01-01-2019 11:00,PED,UVB,1.75,16
