Estado,3T19, 4T19, 1T20, 2T20, 3T20, 4T20, 1T21, 2T21, 3T21, 4T21, 1T22, 2T22
Nacional,8.4,7.7,7.1,5.8,5,5.4,6.5,7.8,8.7,8.5,7.7,8
Aguascalientes,8.3,8.3,7.9,6.5,5.7,6,6.4,7,6.8,5.9,5.9,6.9
Baja California,9.1,8.8,8.4,7.4,6.9,7.6,8.9,10.2,10.7,10.2,9.8,10.8
Baja California Sur,9.3,8.6,8.5,7.8,7.5,8.9,10.4,12,13,12.5,12.2,13
Campeche,8.2,7.6,7.4,6.7,6.6,7.5,8.9,10.4,11.1,10.6,9.7,9.9
Coahuila,8.1,7.3,7.1,6.2,5.9,6.7,7.9,8.8,8.9,8.2,7.2,7.7
Colima,8.1,7.7,7.1,6.2,6,6.5,7.7,8.6,8.6,8.4,8.3,8.8
Chiapas,7.2,6.9,6.7,5.9,5.5,6,7.2,8.4,8.8,8.3,7.5,7.6
Chihuahua,7.7,6.9,6.8,6.1,6,7.1,8.9,10.5,11.2,11,9.6,9.1
Ciudad de México,9.8,7.2,5.6,1.8,-0.5,-0.5,-0.4,2.2,6,7.1,6.5,6.8
Durango,6.2,6,5.9,5.8,5.7,5.8,7.1,7.7,7.7,7.4,5.7,4.9
Guanajuato,8.6,8.1,7.3,6.3,5.9,5.8,6.7,7.2,6.9,6.7,6.4,6.9
Guerrero,6.7,6.6,6.3,5.3,4.3,4.6,6.3,8.3,10.1,10.6,9.9,10.2
Hidalgo,7.2,6.5,6,4.9,4.2,4.2,5.4,6.4,6.6,6.5,5.7,6
Jalisco,11,10.2,9.4,7.9,7.1,7.4,8.4,9.1,9.7,8.8,7.8,8.3
México,6.6,6.6,6.5,5.3,4.4,4.2,5.2,6.5,7.3,7.3,6.2,5.6
Michoacán,7.9,7.8,6.9,6.1,5.5,5.1,7.3,9.3,10.5,11.8,11,10.9
Morelos,7.2,6.8,6.7,5.3,4.2,4.2,5.8,8.2,10.6,11.7,10.6,9.7
Nayarit,9.6,8.4,7.8,6.7,6.5,7.7,9.4,11,12.2,12.4,12.2,12.8
Nuevo León,8.6,8,7.6,6.7,6.8,7.1,8.2,8.8,8.7,8.4,7.9,8.2
Oaxaca,7,6.7,6.5,5.8,5.4,6.1,7.3,8.3,8.3,7.3,6,5.7
Puebla,8.3,7.9,7.6,7,6.4,6.9,8.1,9,9.5,9.1,8.2,8.1
Querétaro,7.2,7.3,7.2,6.1,5.1,4.9,6,7.3,8.1,8.1,7.3,7.5
Quintana Roo,11.2,9.2,8.3,6.7,6.2,8.4,10.3,12.2,13.4,12.6,12.4,13.5
San Luis Potosí,8.1,7.4,7,6.9,7.3,8,9,9.2,8.8,8.3,7.8,7.9
Sinaloa,9.6,9.2,8.5,7.4,7.3,8,9.3,10.3,10.4,10.2,10.2,11.6
Sonora,7.7,7.6,7.8,7.1,6.9,7.6,8.4,8.7,8.5,7.5,6.2,6.5
Tabasco,6.1,6.2,6.2,5.8,5.5,5.5,6.3,6.9,6.6,6,5.3,5.8
Tamaulipas,7.5,6.8,6.6,5.7,5.5,6.6,7.9,8.8,8.5,7.3,6.2,6.6
Tlaxcala,6,4.8,4.6,4.5,4.5,5.7,7.1,7.8,7.9,7,5.8,5.8
Veracruz,6,5.4,5.4,5.1,5.1,5.9,8.2,9.8,10.6,10.7,8.8,8.2
Yucatán,8.9,8.2,7.9,6.5,6,6.7,7.5,8.6,8.9,8.3,7.8,8.4
Zacatecas,7.8,7,6.6,5.1,4.6,5.2,5.6,6.1,5.5,4.1,3.9,5.1
