log_salario_actual,log_salario_inicial,educacion_anios,senior,edad,experiencia_ini_anios
9.6853,9.0359,16,81,28.5,0.25
10.2524,9.7642,19,83,41.92,13
10.0345,9.2873,15,98,41.17,12
9.4174,8.6376,12,94,46.25,20
9.9282,9.3049,16,83,35.17,5.75
10.2128,9.4575,19,78,30.08,2.92
9.105,8.7948,12,70,44.5,18
9.3038,8.6793,12,70,27.83,3.42
9.6816,9.2301,15,78,35.42,11.08
9.9965,9.3049,16,90,34.33,5.67
10.0858,9.1582,16,94,34,4.92
9.6473,9.1582,15,78,38.92,14.67
9.5359,9.3147,16,82,44.42,12.42
10.3735,8.7483,15,82,29.5,2.83
9.3927,8.7483,12,69,63.58,29
9.5042,8.7483,12,66,27.42,3.92
9.4556,8.6995,8,85,58.08,36.5
10.0962,9.1049,16,91,33.75,3.67
9.1378,8.6482,12,95,29.33,3.83
10.2921,9.2591,18,94,39.67,4.67
10.1659,9.6158,21,88,56.67,22
9.3414,8.7483,8,69,59.42,14.5
9.9035,9.4724,16,77,48.33,22
9.4556,8.7483,8,74,63.5,34
9.3927,8.7483,12,79,54.17,25.67
9.5539,8.7483,12,78,59.83,32.25
9.8119,9.1377,16,86,32.25,5
10.1166,9.5956,19,80,42.58,16.58
10.1266,9.5462,18,75,35.42,6.17
10.5133,9.68,19,96,44.92,14.58
9.4174,8.5941,12,95,56,25.58
10.6334,9.306,16,97,37.08,5.83
9.4174,8.6995,8,87,64.25,37.58
10.24,9.5479,19,67,36.92,6.25
10.0266,9.2103,16,93,33.42,2.83
9.575,8.9226,15,98,37.17,9.5
10.1166,9.3497,19,65,28.42,2.17
9.0572,8.4763,12,98,64.5,31.75
9.0711,8.4118,12,65,23,0
9.0848,8.4763,12,76,40.17,0.5
9.3927,8.7948,12,95,55.25,19
9.1442,8.5941,12,64,45.5,16.5
9.4415,8.9226,12,90,61.67,17.08
9.3673,8.4381,15,93,26.83,0.92
9.1757,8.537,8,66,46.17,8
9.3147,8.9618,15,82,58.75,22.08
8.7578,8.3138,8,74,55.25,3.58
9.2183,8.6586,12,91,33.5,6.92
9.0642,8.5941,8,66,64.25,19
