anio,semana,nventas
2017,1,67694
2017,2,109520
2017,3,133822
2017,4,185184
2017,5,143751
2017,6,122856
2017,7,148521
2017,8,176665
2017,9,147441
2017,10,151184
2017,11,145873
2017,12,117012
2017,13,173255
2017,14,152323
2017,15,73386
2017,16,142500
2017,17,233968
2017,18,114958
2017,19,151561
2017,20,145032
2017,21,165463
2017,22,157899
2017,23,163913
2017,24,158604
2017,25,159668
2017,26,190490
2017,27,143011
2017,28,144777
2017,29,141447
2017,30,165022
2017,31,139484
2017,32,151342
2017,33,142021
2017,34,173618
2017,35,164051
2017,36,175712
2017,37,155075
2017,38,134494
2017,39,251497
2017,40,137711
2017,41,150202
2017,42,160930
2017,43,177861
2017,44,156486
2017,45,234721
2017,46,261227
2017,47,151642
2017,48,237128
2017,49,161356
2017,50,215090
2017,51,194982
2017,52,138813
2017,53,285
2018,1,122532
2018,2,204430
2018,3,257186
2018,4,339109
2018,5,192140
2018,6,174496
2018,7,228092
2018,8,245351
2018,9,228738
2018,10,238220
2018,11,244860
2018,12,189570
2018,13,135386
2018,14,209602
2018,15,241934
2018,16,288142
2018,17,249539
2018,18,173958
2018,19,210653
2018,20,229005
2018,21,229314
2018,22,229891
2018,23,208458
2018,24,219597
2018,25,217176
2018,26,227995
2018,27,188182
2018,28,215395
2018,29,187246
2018,30,182389
2018,31,214904
2018,32,204804
2018,33,214489
2018,34,227314
2018,35,234383
2018,36,197866
2018,37,234585
2018,38,214310
2018,39,232700
2018,40,202124
2018,41,222064
2018,42,232705
2018,43,229241
2018,44,194711
2018,45,232947
2018,46,233510
2018,47,185510
2018,48,225683
2018,49,195924
2018,50,191999
2018,51,173174
2018,52,94733
2018,53,20199
2019,1,102207
2019,2,197748
2019,3,391762
2019,4,162642
2019,5,147587
2019,6,178269
2019,7,178082
2019,8,180791
2019,9,189973
2019,10,198293
2019,11,158618
2019,12,301996
2019,13,175421
2019,14,186700
2019,15,170882
2019,16,80859
2019,17,179087
2019,18,156608
2019,19,178885
2019,20,173022
2019,21,255850
2019,22,158631
2019,23,183776
2019,24,177831
2019,25,177974
2019,26,184443
2019,27,185593
2019,28,165951
2019,29,163650
2019,30,156718
2019,31,166666
2019,32,168574
2019,33,175255
2019,34,178718
2019,35,188842
2019,36,130665
