rank,country_full,country_abrv,total_points,previous_points,rank_change,cur_year_avg,cur_year_avg_weighted,last_year_avg,last_year_avg_weighted,two_year_ago_avg,two_year_ago_weighted,three_year_ago_avg,three_year_ago_weighted,confederation,rank_date
1,Germany,GER,1558.49,1544,0,775.06,775.06,832,416,424.26,127.28,1200.77,240.15,UEFA,2018-06-07
2,Brazil,BRA,1430.57,1384,0,558.95,558.95,1082.36,541.18,560.21,168.06,811.88,162.38,CONMEBOL,2018-06-07
3,Belgium,BEL,1298.32,1346,0,629.98,629.98,645.63,322.82,529.8,158.94,932.92,186.58,UEFA,2018-06-07
4,Portugal,POR,1273.69,1306,0,646.92,646.92,691.82,345.91,517.77,155.33,627.63,125.53,UEFA,2018-06-07
5,Argentina,ARG,1241.45,1254,0,404.07,404.07,809.59,404.8,829.98,248.99,917.94,183.59,CONMEBOL,2018-06-07
6,Switzerland,SUI,1198.72,1179,0,578.59,578.59,808.58,404.29,338.09,101.43,572.09,114.42,UEFA,2018-06-07
7,France,FRA,1198.13,1166,0,520.12,520.12,856.75,428.38,393.65,118.09,657.68,131.54,UEFA,2018-06-07
8,Poland,POL,1182.61,1128,2,499.9,499.9,896.94,448.47,375.17,112.55,608.45,121.69,UEFA,2018-06-07
9,Chile,CHI,1134.66,1146,0,403.99,403.99,831.33,415.67,724.98,217.49,487.56,97.51,CONMEBOL,2018-06-07
10,Spain,ESP,1125.5,1162,-2,537.05,537.05,611.48,305.74,646.4,193.92,443.99,88.8,UEFA,2018-06-07
11,Peru,PER,1125.39,1106,0,560.36,560.36,788.09,394.05,421.92,126.58,222.02,44.4,CONMEBOL,2018-06-07
12,Denmark,DEN,1051.44,1054,0,723.72,723.72,314.88,157.44,300.24,90.07,401.06,80.21,UEFA,2018-06-07
12,England,ENG,1050.84,1040,1,476.42,476.42,593.51,296.75,580.49,174.15,517.6,103.52,UEFA,2018-06-07
14,Uruguay,URU,1018.41,976,3,486.28,486.28,487.69,243.84,561.47,168.44,599.26,119.85,CONMEBOL,2018-06-07
15,Mexico,MEX,989.44,1008,0,470.55,470.55,506.78,253.39,579.97,173.99,457.54,91.51,CONCACAF,2018-06-07
16,Colombia,COL,985.97,989,0,292.09,292.09,655.57,327.78,665.76,199.73,831.89,166.38,CONMEBOL,2018-06-07
17,Netherlands,NED,980.98,969,2,545.74,545.74,299.13,149.56,333.54,100.06,928.1,185.62,UEFA,2018-06-07
18,Wales,WAL,953.46,931,3,335.47,335.47,745.2,372.6,359.92,107.98,687.06,137.41,UEFA,2018-06-07
19,Italy,ITA,951.25,947,1,341.93,341.93,732.11,366.05,415.76,124.73,592.7,118.54,UEFA,2018-06-07
20,Croatia,CRO,945.18,975,-2,397.75,397.75,672.78,336.39,335.96,100.79,551.26,110.25,UEFA,2018-06-07
21,Tunisia,TUN,909.91,1012,-7,545.56,545.56,394.79,197.39,227.59,68.28,493.39,98.68,CAF,2018-06-07
22,Iceland,ISL,908.01,930,0,438.64,438.64,564.25,282.13,302.02,90.61,483.19,96.64,UEFA,2018-06-07
23,Costa Rica,CRC,884.04,858,2,410.9,410.9,480.58,240.29,332.44,99.73,665.55,133.11,CONCACAF,2018-06-07
24,Sweden,SWE,879.9,889,-1,478.44,478.44,431.99,215.99,370.1,111.03,372.19,74.44,UEFA,2018-06-07
25,USA,USA,872.68,880,-1,473,473,461.32,230.66,349.62,104.89,320.72,64.14,CONCACAF,2018-06-07
26,Austria,AUT,844.7,841,0,456.27,456.27,229.28,114.64,503.42,151.02,613.8,122.76,UEFA,2018-06-07
27,Senegal,SEN,837.98,825,1,368.23,368.23,537.34,268.67,280.3,84.09,584.93,116.99,CAF,2018-06-07
28,Slovakia,SVK,804.36,786,1,332.12,332.12,454.01,227.01,325.92,97.77,737.3,147.46,UEFA,2018-06-07
29,Northern Ireland,NIR,803.22,837,-2,347.03,347.03,399.98,199.99,474.61,142.38,569.09,113.82,UEFA,2018-06-07
30,Romania,ROU,781.66,737,2,403.1,403.1,236.5,118.25,298.57,89.57,853.71,170.74,UEFA,2018-06-07
31,Republic of Ireland,IRL,777.11,776,0,331.96,331.96,455.1,227.55,498.32,149.49,340.53,68.11,UEFA,2018-06-07
32,Paraguay,PAR,773.18,737,0,410.36,410.36,390.68,195.34,487.3,146.19,106.43,21.29,CONMEBOL,2018-06-07
33,Venezuela,VEN,754.55,709,6,469.33,469.33,354.03,177.01,267.39,80.22,139.94,27.99,CONMEBOL,2018-06-07
34,Serbia,SRB,750.75,732,1,417.12,417.12,407.12,203.56,305.24,91.57,192.48,38.5,UEFA,2018-06-07
35,Ukraine,UKR,732.77,777,-5,391.08,391.08,272.64,136.32,473.1,141.93,317.23,63.45,UEFA,2018-06-07
36,Australia,AUS,718.33,700,4,366.6,366.6,387.55,193.77,327.21,98.16,298.94,59.79,AFC,2018-06-07
37,IR Iran,IRN,708.35,727,-1,290.29,290.29,492.04,246.02,308.01,92.4,398.22,79.64,AFC,2018-06-07
38,Turkey,TUR,706.39,714,-1,299.57,299.57,353.57,176.78,604.75,181.42,243.05,48.61,UEFA,2018-06-07
38,Congo DR,COD,705.87,711,0,336.79,336.79,401.76,200.88,305.78,91.74,382.36,76.47,CAF,2018-06-07
40,Bosnia and Herzegovina,BIH,692.93,688,1,269.36,269.36,436.71,218.35,460.53,138.16,335.3,67.06,UEFA,2018-06-07
41,Morocco,MAR,685.86,681,1,369.1,369.1,345.29,172.65,366.78,110.03,170.43,34.09,CAF,2018-06-07
42,Scotland,SCO,659.61,735,-8,373.23,373.23,284.56,142.28,216.25,64.88,396.09,79.22,UEFA,2018-06-07
